x,alpha1_ref,rho_ref,u_ref,p_ref
8.050000000000000488e-01,0.000000000000000000e+00,1.000000000000000000e+03,1.000000000000000000e+02,1.000000000000000000e+05
8.150000000000000577e-01,0.000000000000000000e+00,1.000000000000000000e+03,1.000000000000000000e+02,1.000000000000000000e+05
8.250000000000000666e-01,0.000000000000000000e+00,1.000000000000000000e+03,1.000000000000000000e+02,1.000000000000000000e+05
8.349999999999999645e-01,0.000000000000000000e+00,1.000000000000000000e+03,1.000000000000000000e+02,1.000000000000000000e+05
8.449999999999999734e-01,0.000000000000000000e+00,1.000000000000000000e+03,1.000000000000000000e+02,1.000000000000000000e+05
8.549999999999999822e-01,0.000000000000000000e+00,1.000000000000000000e+03,1.000000000000000000e+02,1.000000000000000000e+05
8.649999999999999911e-01,0.000000000000000000e+00,1.000000000000000000e+03,1.000000000000000000e+02,1.000000000000000000e+05
8.750000000000000000e-01,0.000000000000000000e+00,1.000000000000000000e+03,1.000000000000000000e+02,1.000000000000000000e+05
8.850000000000000089e-01,0.000000000000000000e+00,1.000000000000000000e+03,1.000000000000000000e+02,1.000000000000000000e+05
8.950000000000000178e-01,0.000000000000000000e+00,1.000000000000000000e+03,1.000000000000000000e+02,1.000000000000000000e+05
9.050000000000000266e-01,0.000000000000000000e+00,1.000000000000000000e+03,1.000000000000000000e+02,1.000000000000000000e+05
9.150000000000000355e-01,0.000000000000000000e+00,1.000000000000000000e+03,1.000000000000000000e+02,1.000000000000000000e+05
9.250000000000000444e-01,0.000000000000000000e+00,1.000000000000000000e+03,1.000000000000000000e+02,1.000000000000000000e+05
9.350000000000000533e-01,0.000000000000000000e+00,1.000000000000000000e+03,1.000000000000000000e+02,1.000000000000000000e+05
9.450000000000000622e-01,0.000000000000000000e+00,1.000000000000000000e+03,1.000000000000000000e+02,1.000000000000000000e+05
9.550000000000000711e-01,0.000000000000000000e+00,1.000000000000000000e+03,1.000000000000000000e+02,1.000000000000000000e+05
9.649999999999999689e-01,0.000000000000000000e+00,1.000000000000000000e+03,1.000000000000000000e+02,1.000000000000000000e+05
9.749999999999999778e-01,0.000000000000000000e+00,1.000000000000000000e+03,1.000000000000000000e+02,1.000000000000000000e+05
9.849999999999999867e-01,0.000000000000000000e+00,1.000000000000000000e+03,1.000000000000000000e+02,1.000000000000000000e+05
9.949999999999999956e-01,0.000000000000000000e+00,1.000000000000000000e+03,1.000000000000000000e+02,1.000000000000000000e+05
