x,alpha1_ref,rho_ref,u_ref,p_ref
2.181250000000000133e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
2.193750000000000144e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
2.206250000000000155e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
2.218750000000000167e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
2.231250000000000178e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
2.243749999999999911e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
2.256249999999999922e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
2.268749999999999933e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
2.281249999999999944e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
2.293749999999999956e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
2.306249999999999967e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
2.318749999999999978e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
2.331249999999999989e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
2.343750000000000000e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
2.356250000000000011e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
2.368750000000000022e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
2.381250000000000033e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
2.393750000000000044e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
2.406250000000000056e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
2.418750000000000067e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
2.431250000000000078e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
2.443750000000000089e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
2.456250000000000100e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
2.468750000000000111e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
2.481250000000000122e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
2.493750000000000133e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
2.506249999999999867e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
2.518750000000000155e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
2.531249999999999889e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
2.543750000000000178e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
2.556249999999999911e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
2.568750000000000200e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
2.581249999999999933e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
2.593750000000000222e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
2.606249999999999956e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
