x,y,z,g,g0
0.353896,0.0324675,0.347403,-2.152958e-14,0
0.37013,0.0292208,0.347403,-1.448188e-13,0
0.366883,0.0324675,0.347403,-3.017398e-14,0
0.383117,0.0292208,0.347403,-3.476439e-13,0
0.37987,0.0324675,0.347403,-9.111407e-14,0
0.396104,0.0292208,0.347403,-4.497004e-13,0
0.392857,0.0324675,0.347403,-1.763284e-13,0
0.409091,0.0292208,0.347403,-1.493026e-13,0
0.405844,0.0324675,0.347403,1.024261e-13,0
0.422078,0.0292208,0.347403,1.248526e-13,0
0.418831,0.0324675,0.347403,1.457381e-13,0
0.435065,0.0292208,0.347403,3.023821e-13,0
0.431818,0.0324675,0.347403,4.645981e-14,0
0.448052,0.0292208,0.347403,4.118224e-13,0
0.444805,0.0324675,0.347403,-9.034584e-16,0
0.461039,0.0292208,0.347403,3.724092e-13,0
0.457792,0.0324675,0.347403,-7.278191e-14,0
0.474026,0.0292208,0.347403,3.402393e-13,0
0.470779,0.0324675,0.347403,-2.295864e-14,0
0.487013,0.0292208,0.347403,3.523125e-13,0
0.483766,0.0324675,0.347403,-5.792593e-14,0
0.5,0.0292208,0.347403,4.246567e-13,0
0.496753,0.0324675,0.347403,-7.122316e-14,0
0.512987,0.0292208,0.347403,2.422207e-13,0
0.50974,0.0324675,0.347403,-8.274477e-14,0
0.525974,0.0292208,0.347403,-9.971511e-14,0
0.522727,0.0324675,0.347403,-1.363097e-13,0
0.538961,0.0292208,0.347403,-4.832436e-13,0
0.535714,0.0324675,0.347403,-1.419991e-13,0
0.551948,0.0292208,0.347403,-8.496507e-13,0
0.548701,0.0324675,0.347403,-2.140625e-13,0
0.564935,0.0292208,0.347403,-1.138455e-12,0
0.561688,0.0324675,0.347403,-5.517604e-13,0
0.577922,0.0292208,0.347403,-1.025331e-12,0
0.574675,0.0324675,0.347403,-6.560736e-13,0
0.590909,0.0292208,0.347403,-9.643251e-13,0
0.587662,0.0324675,0.347403,-6.206616e-13,0
0.603896,0.0292208,0.347403,-8.794594e-13,0
0.600649,0.0324675,0.347403,-5.351408e-13,0
0.616883,0.0292208,0.347403,-9.227466e-13,0
0.613636,0.0324675,0.347403,-4.761084e-13,0
0.62987,0.0292208,0.347403,-4.685794e-13,0
0.626623,0.0324675,0.347403,-3.77699e-13,0
0.642857,0.0292208,0.347403,-1.877289e-13,0
0.63961,0.0324675,0.347403,-3.534594e-13,0
0.655844,0.0292208,0.347403,1.442587e-13,0
0.652597,0.0324675,0.347403,-3.853901e-13,0
0.668831,0.0292208,0.347403,2.831168e-13,0
0.665584,0.0324675,0.347403,-4.644151e-13,0
0.681818,0.0292208,0.347403,3.499907e-13,0
0.678571,0.0324675,0.347403,-3.649945e-13,0
0.694805,0.0292208,0.347403,1.84887e-13,0
0.691558,0.0324675,0.347403,-2.318304e-13,0
0.707792,0.0292208,0.347403,1.346857e-13,0
0.704545,0.0324675,0.347403,-1.618211e-13,0
0.720779,0.0292208,0.347403,1.000626e-13,0
