x,y,z,g,g0
0.180921,0.0164474,0.348684,2.28371e-16,0
0.174342,0.0230263,0.348684,-1.64277e-16,0
0.177632,0.0164474,0.351974,2.301393e-16,0
0.174342,0.0197368,0.351974,1.120353e-16,0
0.194079,0.0164474,0.348684,-2.258368e-17,0
0.1875,0.0230263,0.348684,-1.987731e-16,0
0.190789,0.0164474,0.351974,1.546724e-16,0
0.1875,0.0197368,0.351974,5.682427e-17,0
0.207237,0.0164474,0.348684,-5.400389e-16,0
0.200658,0.0230263,0.348684,-1.034935e-16,0
0.203947,0.0164474,0.351974,-1.416642e-16,0
0.200658,0.0197368,0.351974,-3.818785e-17,0
0.220395,0.0164474,0.348684,-1.025949e-15,0
0.213816,0.0230263,0.348684,3.27126e-16,0
0.217105,0.0164474,0.351974,-6.072139e-16,0
0.213816,0.0197368,0.351974,-1.196833e-16,0
0.233553,0.0164474,0.348684,-5.2204e-16,0
0.226974,0.0230263,0.348684,1.490757e-15,0
0.230263,0.0164474,0.351974,-5.967151e-16,0
0.226974,0.0197368,0.351974,7.838639e-17,0
0.246711,0.0164474,0.348684,3.011533e-16,0
0.240132,0.0230263,0.348684,1.223443e-15,0
0.243421,0.0164474,0.351974,-6.838948e-17,0
