shape,axis,bin_lo,bin_hi,metric,n,median,rms,p90,p99,max
prism,smax,1.41421,2,errC_gauss,83273,4.780016e-03,7.341574e-03,1.192153e-02,1.997495e-02,3.986353e-02
prism,smax,1.41421,2,errC_prod,83273,6.413806e-04,1.256171e-03,1.994541e-03,4.015924e-03,1.298759e-02
prism,smax,1.41421,2,refconv_C,83273,1.768641e-11,2.412783e-08,1.353099e-09,1.595413e-08,2.938045e-06
prism,smax,2,2.82843,errC_gauss,103307,7.051945e-03,1.171003e-02,1.922579e-02,3.407942e-02,6.164673e-02
prism,smax,2,2.82843,errC_prod,103307,9.881912e-04,1.996906e-03,3.327489e-03,6.060311e-03,1.743999e-02
prism,smax,2,2.82843,refconv_C,103307,8.398799e-10,1.391457e-07,3.263203e-08,2.190700e-07,2.227197e-05
prism,smax,2.82843,4,errC_gauss,147132,1.055762e-02,1.804822e-02,2.999607e-02,5.256883e-02,9.013834e-02
prism,smax,2.82843,4,errC_prod,147132,1.612052e-03,3.379298e-03,5.772426e-03,1.018002e-02,2.804037e-02
prism,smax,2.82843,4,refconv_C,147132,1.911940e-08,9.191089e-07,4.730864e-07,2.265861e-06,9.215677e-05
prism,smax,4,5.65685,errC_gauss,204245,1.383454e-02,2.354300e-02,3.936482e-02,6.670409e-02,1.126341e-01
prism,smax,4,5.65685,errC_prod,204245,2.709486e-03,5.617553e-03,9.535866e-03,1.717050e-02,4.408744e-02
prism,smax,4,5.65685,refconv_C,204245,2.615886e-07,4.316397e-06,4.049837e-06,1.493438e-05,3.020899e-04
prism,smax,5.65685,8,errC_gauss,178328,1.537672e-02,2.608731e-02,4.323650e-02,7.444217e-02,1.276210e-01
prism,smax,5.65685,8,errC_prod,178328,4.310563e-03,8.597144e-03,1.442619e-02,2.656840e-02,6.424810e-02
prism,smax,5.65685,8,refconv_C,178328,2.345369e-06,1.808138e-05,2.360209e-05,6.978267e-05,8.472990e-04
prism,smax,8,11.3137,errC_gauss,109556,1.811998e-02,3.125029e-02,5.175883e-02,9.079135e-02,1.766547e-01
prism,smax,8,11.3137,errC_prod,109556,6.624453e-03,1.232256e-02,2.047187e-02,3.740353e-02,6.948124e-02
prism,smax,8,11.3137,refconv_C,109556,1.289079e-05,6.371783e-05,9.401537e-05,2.484543e-04,1.746843e-03
prism,smax,11.3137,16,errC_gauss,47505,2.342595e-02,4.509052e-02,7.564608e-02,1.357264e-01,2.218190e-01
prism,smax,11.3137,16,errC_prod,47505,8.877444e-03,1.632000e-02,2.715494e-02,4.976656e-02,8.691150e-02
prism,smax,11.3137,16,refconv_C,47505,4.071644e-05,1.727160e-04,2.683853e-04,6.682310e-04,2.253906e-03
prism,smax,16,22.6274,errC_gauss,15349,3.563691e-02,7.049117e-02,1.223530e-01,1.970200e-01,2.752721e-01
prism,smax,16,22.6274,errC_prod,15349,1.065236e-02,2.081760e-02,3.564295e-02,6.417446e-02,1.009087e-01
prism,smax,16,22.6274,refconv_C,15349,8.356233e-05,3.426720e-04,5.506327e-04,1.312382e-03,2.980675e-03
prism,smax,22.6274,32,errC_gauss,4240,4.836465e-02,9.780838e-02,1.753816e-01,2.483340e-01,3.235836e-01
prism,smax,22.6274,32,errC_prod,4240,1.307097e-02,2.471376e-02,4.222118e-02,7.258808e-02,1.690729e-01
prism,smax,22.6274,32,refconv_C,4240,1.559792e-04,6.219706e-04,9.768339e-04,2.385901e-03,4.225463e-03
prism,smax,32,45.2548,errC_gauss,911,5.758237e-02,1.228067e-01,2.158740e-01,3.074815e-01,3.396344e-01
prism,smax,32,45.2548,errC_prod,911,1.835434e-02,3.626304e-02,6.106060e-02,1.081442e-01,1.861792e-01
prism,smax,32,45.2548,refconv_C,911,2.114669e-04,9.047902e-04,1.437478e-03,3.589313e-03,4.315211e-03
prism,smax,45.2548,64,errC_gauss,278,5.586311e-02,1.224007e-01,2.142335e-01,3.223576e-01,3.570057e-01
prism,smax,45.2548,64,errC_prod,278,1.985002e-02,6.224942e-02,1.081313e-01,2.199239e-01,2.385785e-01
prism,smax,45.2548,64,refconv_C,278,2.036696e-04,1.027132e-03,1.580181e-03,3.733940e-03,5.695876e-03
prism,smax,64,-1,errC_gauss,62,5.148924e-02,1.228030e-01,2.098909e-01,2.966194e-01,3.044178e-01
prism,smax,64,-1,errC_prod,62,1.949472e-02,7.866015e-02,1.566134e-01,2.169365e-01,2.467155e-01
prism,smax,64,-1,refconv_C,62,4.417722e-04,9.723722e-04,1.690307e-03,2.530654e-03,2.948419e-03
pyramid,smax,0,0.25,errC_gauss,6,4.741750e-04,7.525882e-04,1.191441e-03,1.262849e-03,1.270784e-03
